1,126,427,112,81,432
0,78,64,157,55,17
1,68,64,4,236,432
0,133,32,103,51,85
0,59,32,7,51,43
1,68,24,8,67,432
0,98,64,134,21,201
0,50,19,245,81,63
1,1,421,91,236,40
1,164,33,69,429,267
0,266,64,134,22,90
0,85,81,136,236,267
1,10,91,61,81,26
0,92,20,126,51,143
1,91,64,79,96,43
0,98,76,92,22,412
1,3,19,50,67,40
0,126,2,105,81,16
1,79,64,85,119,43
0,41,121,3,81,412
1,41,54,25,81,432
0,79,64,61,236,16
1,79,121,103,119,117
0,114,421,61,51,432
0,30,120,91,81,79
1,91,60,61,236,43
0,105,64,163,110,267
1,114,154,25,29,43
0,157,427,7,236,201
1,105,76,61,236,412
0,420,245,134,81,143
1,114,60,103,236,267
0,79,35,7,51,432
1,131,120,38,236,40
0,111,64,238,22,432
1,92,64,61,81,13
0,114,421,134,119,412
1,164,64,112,81,223
0,114,121,163,22,412
1,79,104,4,202,223
0,64,92,103,236,267
1,58,20,101,96,412
0,105,64,103,236,40
1,114,20,38,51,432
0,68,60,4,22,117
0,8,64,157,236,16
1,105,104,61,133,16
0,103,64,90,51,432
1,420,64,38,81,63
0,126,3,4,51,43
1,266,121,127,119,412
0,122,107,105,22,25
1,85,64,112,51,432
0,41,154,103,81,412
1,55,421,238,119,412
0,68,121,91,81,43
1,157,19,91,236,63
0,62,79,238,81,26
1,92,427,43,236,412
1,154,121,9,21,111
0,164,104,112,81,44
1,126,28,90,21,26
0,105,121,8,81,412
1,85,79,41,51,267
0,157,104,8,81,40
1,27,35,105,96,117
0,80,104,103,81,40
1,85,64,134,51,432
0,61,107,38,236,53
1,164,32,105,236,117
0,91,60,127,81,43
1,41,76,3,429,117
0,30,19,103,236,432
1,54,92,34,51,223
0,126,104,134,236,48
1,420,64,105,110,99
0,114,254,4,51,117
1,58,54,41,236,43
0,105,64,126,110,53
1,105,20,157,51,16
0,58,427,8,236,432
1,126,20,63,236,201
0,98,28,3,81,53
1,92,60,134,81,201
0,133,104,112,236,412
1,59,35,34,81,201
0,78,121,61,22,12
1,85,121,134,236,432
0,111,64,69,119,99
1,23,64,8,236,43
1,68,64,30,22,89
0,420,19,91,236,412
1,114,60,38,81,432
0,111,64,103,29,117
1,82,24,7,202,53
0,114,11,105,81,412
1,58,32,103,15,432
0,92,64,4,22,40
1,157,35,85,236,201
0,68,121,55,51,267
1,58,64,45,51,201
0,111,32,136,236,143
0,126,427,3,81,143
1,111,107,91,236,16
0,126,64,61,202,412
1,111,427,38,119,432
0,68,64,91,96,117
1,126,64,163,96,117
0,23,80,8,67,63
1,105,120,8,51,43
0,82,76,126,236,26
0,420,64,245,110,90
1,114,64,80,81,432
0,58,421,55,51,3
1,23,121,112,236,117
0,106,64,99,96,432
1,24,60,91,236,432
0,157,120,161,81,201
1,30,121,45,236,79
0,68,19,80,81,16
1,157,64,238,115,16
0,126,11,245,81,143
1,31,64,105,81,43
0,126,14,34,236,432
1,54,64,134,51,267
0,85,2,103,119,53
1,79,64,4,236,412
0,114,19,61,157,117
1,105,64,38,22,117
0,48,104,55,81,432
1,240,64,245,429,53
0,105,35,104,119,43
1,59,76,163,202,117
0,114,421,54,236,22
1,34,104,112,22,412
0,92,107,38,81,223
1,126,64,38,236,22
0,105,60,13,17,432
1,164,421,134,236,43
0,157,28,103,119,412
1,114,64,7,81,267
0,157,121,134,51,53
1,24,28,1,236,53
0,13,11,61,81,40
1,122,29,101,81,40
0,92,60,7,236,412
1,24,32,34,236,53
0,27,72,126,15,43
1,79,64,8,22,43
0,68,104,38,81,432
1,10,104,38,236,161
0,41,28,103,81,117
1,117,121,134,96,43
0,41,64,103,81,267
1,79,60,1,22,43
0,111,35,30,236,143
1,420,121,34,202,3
0,84,427,38,236,12
1,41,107,3,96,432
0,80,121,157,51,43
0,92,79,103,67,117
1,68,121,134,236,117
0,85,64,43,96,267
1,68,107,103,119,412
0,85,2,134,81,117
1,266,104,4,236,432
1,236,79,8,157,412
1,157,154,103,22,43
0,50,28,91,85,63
1,126,20,79,236,43
0,58,121,105,81,99
1,114,120,1,51,201
0,75,121,112,236,267
1,41,35,163,202,40
0,85,79,136,236,37
1,41,79,163,22,90
0,92,121,40,51,432
1,58,64,101,29,40
0,59,121,61,22,14
1,80,24,134,115,432
0,126,60,61,429,412
0,92,254,4,96,161
1,85,64,50,236,16
0,27,104,103,133,412
1,39,64,1,236,89
0,83,60,126,81,412
1,23,154,61,119,117
0,62,19,55,81,45
1,57,64,25,119,40
0,98,35,38,236,17
1,27,64,7,67,53
0,41,76,103,81,63
1,23,64,103,236,63
0,98,121,268,29,12
1,63,203,61,236,43
0,50,107,103,22,53
0,84,64,38,81,53
1,98,121,45,51,90
0,54,104,38,22,63
1,2,120,38,202,40
0,105,79,91,236,43
1,105,121,61,51,53
0,41,64,117,67,40
1,23,107,61,22,53
1,92,19,103,51,412
0,157,203,245,29,432
1,105,64,8,236,161
0,58,20,101,67,267
1,50,64,42,22,53
0,111,32,38,236,143
1,85,154,30,236,412
0,266,19,90,202,43
1,92,28,238,18,412
0,58,203,10,236,9
1,24,64,7,51,99
0,114,79,8,236,432
1,27,32,4,51,12
0,82,121,1,22,9
1,23,33,103,236,412
0,92,64,25,81,143
0,62,20,115,236,43
1,79,121,4,81,9
0,164,19,7,119,53
1,85,91,69,51,43
1,14,2,38,29,201
0,39,427,136,96,267
1,24,60,103,81,412
1,30,154,61,236,9
0,85,104,163,81,40
0,111,421,112,115,412
1,34,64,157,51,16
1,105,154,4,133,432
0,85,421,55,81,43
1,10,76,41,29,16
0,68,64,25,81,117
1,68,2,134,81,117
0,432,64,61,51,90
0,111,58,38,51,432
1,14,2,161,29,412
0,58,64,103,51,267
1,98,28,103,51,53
1,111,64,7,81,201
0,58,120,8,236,9
1,105,64,38,81,43
0,24,35,127,236,90
1,92,28,25,81,14
0,84,121,103,51,432
0,80,104,7,81,412
1,150,5,38,15,432
0,122,29,245,81,9
1,24,76,38,18,25
0,420,59,99,236,412
1,68,32,30,236,53
0,111,421,38,81,412
1,126,60,38,51,16
0,105,121,25,81,43
1,17,154,61,236,36
1,164,120,34,96,267
0,111,19,61,29,117
1,157,64,99,119,63
0,14,19,134,236,40
1,92,64,105,21,16
0,68,107,134,22,3
1,126,107,103,51,432
0,17,64,161,81,37
1,14,64,157,236,201
0,122,121,38,22,163
1,164,154,55,96,43
0,157,3,61,21,12
1,122,107,7,51,40
1,85,64,134,51,25
0,105,421,43,22,16
1,50,120,61,236,161
0,150,64,103,22,117
1,80,421,134,15,12
0,85,79,61,236,43
1,122,120,245,22,117
1,240,107,14,202,161
0,114,203,163,81,412
1,79,120,103,18,40
0,111,107,161,81,3
1,85,427,103,51,43
0,245,64,131,236,40
1,80,19,92,236,16
1,114,19,50,51,25
0,164,120,163,222,161
0,114,421,112,119,201
1,240,24,103,81,16
0,8,19,25,236,432
1,54,60,91,236,63
0,58,19,7,51,1
1,240,2,25,51,53
0,122,254,61,236,201
1,126,421,69,81,53
0,157,28,163,222,41
1,92,64,163,236,267
0,58,121,245,96,43
1,23,29,30,81,16
0,50,28,238,236,432
1,157,107,61,81,16
0,85,64,245,236,89
1,157,60,103,81,43
1,122,121,245,51,3
0,157,11,7,22,412
0,38,24,101,51,26
1,34,121,61,110,201
0,50,427,126,22,43
1,114,20,13,22,40
0,50,28,55,236,432
1,3,121,103,51,117
0,164,60,55,22,43
1,104,154,103,236,43
1,85,29,34,236,53
0,126,121,136,51,43
1,34,120,55,236,45
0,48,79,103,81,26
1,80,107,245,236,40
1,3,81,38,22,43
0,164,121,103,51,40
1,91,76,103,81,41
0,68,64,163,236,3
1,126,154,134,236,43
0,122,64,127,81,26
1,98,76,38,18,90
0,17,64,103,119,412
1,126,64,134,51,53
0,164,76,99,81,9
1,126,60,10,236,53
0,68,79,136,81,143
1,122,76,61,236,40
0,79,106,4,110,432
1,157,121,55,21,267
0,85,11,126,51,43
1,39,76,103,236,53
0,85,254,157,202,267
1,105,427,69,81,9
0,111,64,34,22,432
1,157,20,7,96,40
0,111,154,238,236,16
1,79,427,157,236,53
0,164,64,101,51,43
0,105,29,157,96,117
1,58,427,55,81,412
0,98,121,38,202,43
1,23,80,1,81,412
0,54,60,103,110,16
1,420,121,10,236,25
0,75,120,157,51,43
1,3,64,157,82,53
0,126,35,61,51,43
1,17,28,117,18,111
0,58,9,103,236,63
1,161,59,103,81,117
0,126,64,163,236,412
1,57,29,268,236,201
0,154,35,61,202,412
1,58,121,134,81,43
1,122,64,103,81,53
0,23,121,161,51,40
1,80,64,38,81,117
0,58,72,55,96,43
1,27,64,105,29,3
0,111,104,55,22,412
1,50,60,7,236,53
0,157,79,91,22,9
1,114,120,99,236,43
0,98,121,112,202,267
1,122,107,61,81,89
0,111,427,238,119,9
1,14,35,1,236,16
0,68,64,238,81,53
1,3,120,105,96,117
1,240,91,112,236,16
0,58,154,85,104,43
1,64,154,157,236,432
0,58,107,105,22,143
1,58,33,38,236,90
0,50,121,91,81,412
1,111,60,8,67,12
0,114,106,61,236,43
1,8,60,126,51,267
0,17,80,1,236,37
0,68,120,55,202,117
1,79,427,4,96,117
0,98,64,120,236,201
1,58,121,61,29,117
0,122,154,103,96,43
1,420,19,103,18,40
0,30,64,69,6,63
1,126,80,1,81,43
0,17,154,163,29,267
1,105,421,7,236,63
0,157,19,55,81,40
0,240,32,126,96,267
1,41,64,4,110,37
0,85,60,157,51,43
1,41,76,8,81,43
0,57,121,61,429,53
1,133,76,61,51,37
0,157,60,91,236,43
1,92,79,55,51,432
0,114,24,134,236,12
1,150,121,55,202,40
0,85,421,112,110,143
0,41,9,157,236,4
1,27,245,163,81,201
0,85,60,103,236,89
1,92,9,85,81,267
0,33,59,99,51,25
1,68,64,91,67,117
0,157,3,90,236,53
1,80,64,61,236,412
0,78,421,136,51,53
0,126,19,131,236,143
1,91,33,134,119,267
0,157,54,245,51,43
1,79,121,38,236,267
1,41,64,103,81,79
0,98,9,38,429,223
1,122,64,25,67,201
1,24,121,38,81,48
0,105,64,91,22,9
1,79,19,134,236,40
0,50,64,105,22,43
1,85,427,25,236,16
0,27,131,117,29,89
0,111,35,105,29,161
1,111,421,245,29,63
0,50,64,103,81,53
1,68,104,91,429,412
0,58,60,55,96,43
1,105,64,38,236,201
0,14,154,13,81,267
1,157,121,126,429,40
0,111,427,61,15,44
1,64,421,134,236,201
1,14,427,91,236,43
0,58,120,55,81,40
1,420,2,103,157,16
0,240,154,7,81,36
1,68,60,80,22,37
0,92,9,38,81,201
1,68,104,163,236,201
0,30,59,61,81,63
1,126,64,4,81,117
0,41,5,38,110,25
0,92,121,7,236,117
1,59,64,163,110,26
0,58,33,1,236,117
1,91,19,134,236,143
0,240,64,103,51,43
1,131,79,236,119,412
0,164,78,38,81,16
1,58,154,103,236,43
0,164,104,101,22,267
1,50,254,105,22,16
0,17,64,41,81,143
1,80,28,8,22,40
0,114,64,61,81,13
1,420,32,38,236,53
0,131,64,4,18,16
1,68,64,105,51,16
0,38,76,134,81,43
1,58,60,238,81,117
0,78,64,163,236,267
1,126,64,61,96,43
0,157,113,1,51,117
1,58,121,115,51,267
0,92,60,61,22,43
1,23,80,1,110,12
0,122,28,38,81,40
1,58,76,8,236,432
0,126,9,103,202,3
1,92,60,34,81,90
0,105,64,38,119,53
1,85,154,105,236,43
0,68,64,91,81,63
1,79,64,163,51,117
0,111,19,14,81,267
1,92,104,112,236,40
0,91,33,9,81,201
1,114,64,163,51,267
0,238,5,38,110,412
1,50,80,105,81,16
0,23,77,38,96,3
1,58,64,103,96,267
0,164,28,238,202,111
1,41,20,238,81,9
0,122,427,163,51,26
1,157,60,134,236,43
0,3,104,38,96,201
1,58,60,103,202,432
0,92,19,157,236,12
1,68,64,91,51,9
0,85,35,61,96,40
1,6,79,157,236,26
0,85,64,112,429,117
1,80,32,30,236,117
0,58,9,134,51,43
1,79,107,31,51,117
0,122,59,61,81,432
1,127,64,238,236,161
0,50,154,103,51,412
1,2,121,134,236,16
0,34,64,7,51,40
1,78,28,38,81,16
1,131,64,163,236,267
0,98,60,61,51,22
1,126,64,103,236,201
0,39,154,7,81,43
1,58,121,103,110,43
0,23,154,161,51,40
1,420,203,112,236,90
0,2,121,134,81,59
1,92,64,99,236,37
0,127,107,163,81,16
1,91,64,134,429,1
0,68,76,103,96,80
1,30,59,41,29,117
0,432,79,4,81,16
1,120,32,50,202,43
0,59,121,61,81,40
1,164,76,38,119,117
0,98,28,31,81,267
1,114,121,61,81,53
0,17,64,103,236,117
1,68,19,136,222,412
0,92,64,7,236,111
1,78,121,8,110,37
0,157,154,13,81,267
0,105,64,91,67,267
1,91,60,38,119,37
0,92,154,103,81,43
1,31,64,99,81,53
0,111,121,38,22,16
1,164,32,103,236,201
0,17,121,62,51,90
1,157,32,91,51,412
0,59,60,55,81,161
1,98,20,105,81,12
0,58,107,41,236,432
1,420,64,126,115,53
0,58,79,38,51,12
1,23,64,85,15,201
0,36,19,157,81,89
1,111,64,268,236,117
0,157,121,8,81,113
1,19,64,105,236,12
0,58,121,99,51,432
1,41,104,134,157,16
0,80,9,245,51,267
1,41,60,69,110,9
